codigo_onibus,placa,linha,latitude,longitude,velocidade,sentido,trajeto,hodometro,datahoracoleta,dataposicao,horaposicao
902095,,40,-22.876719,-43.329092,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],28865.9,2023-12-18 15:47:37,2023-12-12,02:24:42
13409,KPY9733,10,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5,2023-12-18 15:47:37,2023-04-26,21:10:13
KXM6403 SAVEIRO,KXM6403,0,-22.967425,-43.413374,0.0,,,7219.0,2023-12-18 15:47:37,2023-12-18,15:21:56
902090,,40,-23.002222,-43.365892,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],36115.8,2023-12-18 15:47:37,2023-12-18,15:47:19
KRA7040 - GOL,KRA7040,0,-22.942701,-43.662016,62.5,,,16375.3,2023-12-18 15:47:37,2023-12-18,12:44:31
LSG7008 ACELLO INFRA,LSG7008,0,-22.957039,-43.390487,0.0,,,20049.9,2023-12-18 15:47:37,2023-12-15,06:03:25
12704,LSM8778,20,-22.920368,-43.607281,0.0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],21199.9,2023-12-18 15:47:37,2023-06-08,07:00:34
12738,KRR2404,0,-22.95906,-43.395172,0.0,,,19308.8,2023-12-18 15:47:37,2023-12-18,15:09:07
KXE9191 PKP,KXE9191,0,-22.957409,-43.390353,0.0,,,4750.0,2023-12-18 15:47:37,2023-09-12,13:20:43
901057,,35,-22.959896,-43.388932,0.4,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],90944.6,2023-12-18 15:47:37,2023-12-18,15:47:15
901003,RKM8C54,22,-23.006614,-43.312375,0.1,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],52169.8,2023-12-18 15:47:37,2023-12-18,15:47:28
47026,KYA7928,12,-22.919286,-43.607066,0.0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],28533.2,2023-12-18 15:47:37,2023-11-27,23:02:09
27176,LRK9563,25,-22.92039,-43.608533,0.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],36202.5,2023-12-18 15:47:37,2023-11-09,15:00:21
12725,LMJ1327,19,-22.919319,-43.607171,0.0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],11573.8,2023-12-18 15:47:37,2023-11-27,08:16:28
KWB9798 - APOIO VAN,KWB9798,0,-22.854858,-43.251512,37.4,,,13857.5,2023-12-18 15:47:37,2023-12-18,15:47:21
901002,,22,-23.000526,-43.33541,0.1,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],32268.6,2023-12-18 15:47:37,2023-12-18,15:30:32
902103,,40,-23.002226,-43.365547,0.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],31499.0,2023-12-18 15:47:37,2023-12-18,15:32:46
901001,RJD7J89,22,-22.965404,-43.391658,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],44822.6,2023-12-18 15:47:37,2023-12-18,15:31:13
901050,,35,-22.973982,-43.363735,43.1,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],52030.8,2023-12-18 15:47:37,2023-12-18,15:47:31
901077,,52,-22.96464,-43.391968,0.0,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],49571.6,2023-12-18 15:47:37,2023-12-18,15:12:27
